,title,year,rating,content,link
0,1. Clarkson's Farm,2021–,"9.0
 (59K)",Follow Jeremy Clarkson as he attempts to run a farm in the countryside.,https://www.imdb.com/title/tt10541088/?ref_=sr_t_1
1,2. The GOAT,2024–,"7.1
 (111)",Legends of reality television compete to earn the title of 'greatest reality show contestant' of all time.,https://www.imdb.com/title/tt27651027/?ref_=sr_t_2
2,3. Vanderpump Rules,2013–,"6.1
 (4.2K)","Best known as one of The Real Housewives of Beverly Hills, Lisa Vanderpump opens the salacious kitchen doors of her exclusive Hollywood restaurant and lounge, SUR.",https://www.imdb.com/title/tt2343157/?ref_=sr_t_3
3,4. Survivor,2000–,"7.5
 (28K)",A reality show where a group of contestants are stranded in a remote location with little more than the clothes on their back. The lone survivor of this contest takes home a million dollars.,https://www.imdb.com/title/tt0239195/?ref_=sr_t_4
4,5. Deal or No Deal Island,2024–,"6.5
 (421)",A group of 13 contestants compete in dangerous games on a private island for a cash prize in an intense season-long reality competition overseen by an enigmatic Banker.,https://www.imdb.com/title/tt28454369/?ref_=sr_t_5
5,6. The Circle,2020–,"7.2
 (8.4K)","Players start off isolated in an apartment, and with their online interactions as their only means of any communication. The players use a social media platform called ""The Circle"".",https://www.imdb.com/title/tt9581768/?ref_=sr_t_6
6,7. The Secret of Skinwalker Ranch,2020–,"6.4
 (4.6K)","A team of experts and scientists undertakes exhaustive research at Skinwalker Ranch, an infamous location for paranormal activity and UFO sightings.",https://www.imdb.com/title/tt10589968/?ref_=sr_t_7
7,8. Below Deck,2013–,"7.5
 (5.1K)",Follows the crew of a multi million dollar charter boat in the Caribbean.,https://www.imdb.com/title/tt2342499/?ref_=sr_t_8
8,9. Dance Moms Reunion 2024,2024,"7.4
 (38)","The two-hour special event is set to feature Dance Moms fan favorites JoJo Siwa, Chloe Lukasiak, Brooke Hyland, Paige Hyland, Kendall Vertes, and Kalani Hilliker together with their moms as they take a look back at the show that became a worldwide pop culture sensation and made them household names.",https://www.imdb.com/title/tt31171315/?ref_=sr_t_9
9,10. Naked and Afraid,2013–,"6.6
 (5K)","Reality show where two strangers (typically 1 male, 1 female) try to survive in the wild for up to 21 days, naked.",https://www.imdb.com/title/tt3007640/?ref_=sr_t_10
10,11. Unlocked: A Jail Experiment,2024–,"7.1
 (1.4K)","At an Arkansas detention facility, a sheriff implements a radical social experiment to grant men who are incarcerated more agency.",https://www.imdb.com/title/tt31722999/?ref_=sr_t_11
11,12. The Amazing Race,2001–,"7.8
 (16K)","Multiple teams race around the globe for $1,000,000 to 'amazing' locations.",https://www.imdb.com/title/tt0285335/?ref_=sr_t_12
12,13. The Traitors,2023–,"7.7
 (4K)","Contestants in the game move into a majestic castle and work as a team to complete a series of dramatic and challenging missions to earn money for the prize pot. Some contestants are loyal, some are traitors.",https://www.imdb.com/title/tt15557874/?ref_=sr_t_13
13,14. Summer House,2017–,"6.3
 (813)","For years, this group of friends has been spending their weekends, from Memorial Day to Labour Day, at one of the most exclusive beaches on the East Coast. As soon as they arrive, they throw themselves into this luxury lifestyle.",https://www.imdb.com/title/tt6645582/?ref_=sr_t_14
14,15. The Curse of Oak Island,2014–,"6.8
 (6.7K)","Rick and Marty Lagina, two brothers from Michigan with a life-long interest in the mystery of Oak Island, renew efforts to discover the legendary treasure with sophisticated machinery.",https://www.imdb.com/title/tt3455408/?ref_=sr_t_15
15,16. RuPaul's Drag Race,2009–,"8.5
 (23K)",RuPaul searches for America's next drag superstar.,https://www.imdb.com/title/tt1353056/?ref_=sr_t_16
16,17. Impractical Jokers,2011–,"8.6
 (46K)","Q, Sal, Joe and Murr are real-life best friends who love challenging each other to the most outrageous dares and stunts ever caught on hidden camera.",https://www.imdb.com/title/tt2100976/?ref_=sr_t_17
17,18. Below Deck Mediterranean,2016–,"7.6
 (3.8K)",A reality show following the crew and Captain of a luxury charter yacht in the Mediterranean.,https://www.imdb.com/title/tt5665418/?ref_=sr_t_18
18,19. Alone,2015–,"8.4
 (7.4K)","Ten survival ""experts"" attempt to survive alone. The winner receives $500,000.",https://www.imdb.com/title/tt4803766/?ref_=sr_t_19
19,20. Ghost Adventures,2008–,"7.3
 (10K)","Zak Bagans, Aaron Goodwin, Billy Tolley, and Jay Wasley investigate the scariest, most notorious, haunted places in the world.",https://www.imdb.com/title/tt1319900/?ref_=sr_t_20
20,21. Selling Sunset,2019–,"6.6
 (8.2K)",The elite real estate brokers at The Oppenheim Group sell the luxe life to affluent buyers in LA. The drama ramps up when a new agent joins the team.,https://www.imdb.com/title/tt9817298/?ref_=sr_t_21
21,22. MythBusters,2003–2018,"8.3
 (55K)",A weekly documentary in which two Hollywood special effects experts attempt to debunk urban legends by directly testing them.,https://www.imdb.com/title/tt0383126/?ref_=sr_t_22
22,23. The Challenge,1998–,"8.1
 (4.3K)",Features 24 strong competitors competing for the title as they face the ultimate willpower test with unusual forms and shocking twists.,https://www.imdb.com/title/tt0176095/?ref_=sr_t_23
23,24. Top Chef,2006–,"7.7
 (6.9K)","A reality competition show in which chefs compete against one another in culinary challenges and are a judged by a panel of food and wine experts, with one or more contestants eliminated each episode.",https://www.imdb.com/title/tt0765425/?ref_=sr_t_24
24,25. Jersey Shore Family Vacation,2018–,"6.7
 (2.4K)","Past members of the cast of ""Jersey Shore"" reunite to live together and go on vacation in Miami and other destinations.",https://www.imdb.com/title/tt7686456/?ref_=sr_t_25
25,26. Physical: 100,2023–,"7.7
 (11K)",One hundred contestants in top physical shape compete in a series of grueling challenges to claim the honor - and cash reward - as the last one standing.,https://www.imdb.com/title/tt25274446/?ref_=sr_t_26
26,27. The Great British Baking Show,2010–,"8.6
 (13K)",Bakers attempt three challenges each week trying to impress the judges enough to go through to the next round and eventually are crowned Britain's best amateur baker.,https://www.imdb.com/title/tt1877368/?ref_=sr_t_27
27,28. 24 in 24: Last Chef Standing,2024–,"7.8
 (111)",24 chefs must complete 24 challenges in a period of 24 consecutive hours.,https://www.imdb.com/title/tt31976132/?ref_=sr_t_28
28,29. We're Here,2020–,"8.2
 (3.1K)","A trio of drag queens descend upon various American towns and cities to inspire and teach their own ""drag daughters"" to step outside their comfort zone for a night of no-holds-barred full-on drag.",https://www.imdb.com/title/tt11285856/?ref_=sr_t_29
29,30. Catfish: The TV Show,2012–,"7.1
 (9.2K)",Nev Schulman and Max Joseph help people who have fallen in love online test the authenticity of their lovers' identities.,https://www.imdb.com/title/tt2498968/?ref_=sr_t_30
30,31. Naked and Afraid XL,2015–,"7.3
 (1.9K)",A group of amateur survivalists are put to the ultimate test in the wild for 40 days with nothing but a few primitive tools. No food. No clothing. No water. They must hunt and gather whatever they need until extraction day.,https://www.imdb.com/title/tt4791250/?ref_=sr_t_31
31,32. Hell's Kitchen,2005–,"7.2
 (23K)","World renowned chef Gordon Ramsay puts aspiring young chefs through rigorous cooking challenges and dinner services at his restaurant in Hollywood, ""Hell's Kitchen"".",https://www.imdb.com/title/tt0437005/?ref_=sr_t_32
32,33. Love Is Blind,2020–,"6.2
 (11K)","Singles who want to be loved for who they are, rather than what they look like, have signed up for a less-conventional approach to modern dating.",https://www.imdb.com/title/tt11704040/?ref_=sr_t_33
33,34. The Voice,2011–,"6.5
 (13K)",Four famous musicians search for the best voices in America and will mentor these singers to become artists. America will decide which singer will be worthy of the grand prize.,https://www.imdb.com/title/tt1839337/?ref_=sr_t_34
34,35. Kitchen Nightmares,2007–2023,"7.5
 (14K)",Gordon Ramsay visits struggling restaurants across America and spends one week trying to help them become successful.,https://www.imdb.com/title/tt0983514/?ref_=sr_t_35
35,36. 90 Day Fiancé,2014–,"6.4
 (2.6K)","Using a unique 90 Day Fiance visa, overseas fiances will travel to the US to live with their partners for the first time. Each couple will have just 90 days to decide to get married or send their international mate home.",https://www.imdb.com/title/tt3469050/?ref_=sr_t_36
36,37. The First 48,2004–,"8.2
 (4.3K)",The series follows detectives during the hours immediately following a homicide.,https://www.imdb.com/title/tt0423652/?ref_=sr_t_37
37,38. RuPaul's Drag Race All Stars,2012–,"8.6
 (9.7K)",New show will serve up a new twist on the mega-hit RuPaul's Drag Race as it pits queens from previous seasons in a wig-to-wig drag battle royale.,https://www.imdb.com/title/tt2301351/?ref_=sr_t_38
38,39. Alone Australia,2023–,"6.5
 (478)","Follow ten brave Australians who are dropped in the merciless Tasmanian wilderness, completely isolated from the world and each other, stripped of modern possessions, contact and comforts, to self-document their experience.",https://www.imdb.com/title/tt27371519/?ref_=sr_t_39
39,40. My 600-lb Life,2012–,"6.7
 (2.1K)","Men and women, all of whom weigh at least 600 pounds, undergo gastric-bypass surgery. The series follows the changes in their weight and in their lives over a year.",https://www.imdb.com/title/tt2152112/?ref_=sr_t_40
40,41. Is It Cake?,2022–,"6.0
 (4.1K)","Skilled cake artists create mouthwatering replicas of everyday objects, in a mind-bending baking contest inspired by a popular meme.",https://www.imdb.com/title/tt18314214/?ref_=sr_t_41
41,42. Race Across the World,2019–,"8.3
 (1.2K)","5 pairs of travellers race from London to the Far East without taking a single flight, a budget and with no smartphone in sight.",https://www.imdb.com/title/tt9909248/?ref_=sr_t_42
42,43. Next Level Chef,2022–,"6.9
 (1.4K)","Gordon Ramsay, Nyesha Arrington, and Richard Blais compete together on what is the next evolution in cooking competitions.",https://www.imdb.com/title/tt14669850/?ref_=sr_t_43
43,44. Couples Therapy,2019–2024,"8.3
 (1.4K)","COUPLES THERAPY unlocks a hidden world: other people's relationships. Far from reality-show caricatures, this is true documentary filmmaking that brings viewers into authentic and visceral experience of weekly therapy with four couples.",https://www.imdb.com/title/tt10665386/?ref_=sr_t_44
44,45. Love on the Spectrum,2019–2021,"8.6
 (7.6K)","A documentary series following young adults on the autism spectrum as they explore the unpredictable world of love, dating and relationships.",https://www.imdb.com/title/tt11904786/?ref_=sr_t_45
45,46. Ugliest House in America,2022–,"7.4
 (442)",Retta tours properties that were nominated based on gaudy designs and botched renovations.,https://www.imdb.com/title/tt16738756/?ref_=sr_t_46
46,47. Shark Tank,2009–,"7.7
 (11K)",Ambitious entrepreneurs present their breakthrough business concepts.,https://www.imdb.com/title/tt1442550/?ref_=sr_t_47
47,48. The Traitors UK,2022–,"8.8
 (5.2K)","Twenty-two strangers compete in a series of missions for a chance to win £120k. However, amongst the players lie the 'Traitors', who meet in secret and decide who to eliminate from their fellow players known as 'Faithfuls'.",https://www.imdb.com/title/tt23743442/?ref_=sr_t_48
48,49. Ridiculousness,2011–,"6.3
 (7.7K)",Rob Dyrdek shows us some of the funniest videos with two of his friends.,https://www.imdb.com/title/tt1820166/?ref_=sr_t_49
49,50. Pawn Stars,2009–,"7.2
 (18K)","Rick Harrison and his family own and run a pawn shop on the Las Vegas strip. They buy, sell, and appraise items of historical value.",https://www.imdb.com/title/tt1492088/?ref_=sr_t_50
50,51. Bar Rescue,2011–,"7.4
 (3.9K)","Jon Taffer, a bar/nightclub consultant, and his team of experts offer their expertise, helping real bar owners ""rescue"" their failing establishments by overcoming challenges and possibly saving them from closing.",https://www.imdb.com/title/tt1863526/?ref_=sr_t_51
51,52. Ghost Hunters,2004–,"6.3
 (7.2K)","In each episode, Jason Hawes and his team of paranormal investigators, TAPS (The Atlantic Paranormal Society) investigate paranormal activity across the country and search for answers in the nation's most haunted locations.",https://www.imdb.com/title/tt0426697/?ref_=sr_t_52
52,53. Port Protection,2015–,"8.2
 (730)",Port Protection Alaska shows a real way to define expectations when Nature commands attention for essentials in a subsistence group of men and women numbering under 100.,https://www.imdb.com/title/tt4838586/?ref_=sr_t_53
53,54. Ghost Adventures: House Calls,2022–,"6.5
 (389)","The Ghost Adventures team investigate the haunted homes of everyday people. After reviewing a call for help, Zak sends his crew to the residence to document unexplained activity and offer advice on dealing with unwanted paranormal guests.",https://www.imdb.com/title/tt19855300/?ref_=sr_t_54
54,55. MasterChef USA,2010–,"7.2
 (9.9K)","A nationwide search for the best home cooks in America. One of 50 hopefuls will become a culinary star and one of America's ""Masterchefs.""",https://www.imdb.com/title/tt1694423/?ref_=sr_t_55
55,56. Below Deck Sailing Yacht,2020–,"7.4
 (1.7K)","Capt. Glenn Shephard and his crew set sail in a luxury sailing yacht to explore the crystal-clear blue waters of the Ionian Sea. The sailing yacht brings new challenges to these young, attractive and adventurous yachties.",https://www.imdb.com/title/tt10087444/?ref_=sr_t_56
56,57. So You Think You Can Dance,2005–,"7.0
 (11K)","Qualified dancers from ballroom and ballet to salsa, jive and hip-hop all compete to be named the best.",https://www.imdb.com/title/tt0472023/?ref_=sr_t_57
57,58. The Challenge: All Stars,2021–,"8.3
 (697)","The iconic reality TV franchise kicked off in 1998 and featured cast members from The Real World and Road Rules competing against one another and now, some of the most iconic and fiercest stars to ever appear are back in action.",https://www.imdb.com/title/tt14257126/?ref_=sr_t_58
58,59. The Repair Shop,2017–,"8.7
 (2K)","Some of Britain's most skilled restoration experts breathe new life into much-cherished family heirlooms that are dropped off by members of the public, who reveal the personal stories behind the items.",https://www.imdb.com/title/tt6685272/?ref_=sr_t_59
59,60. Cops,1989–2023,"6.9
 (7.2K)",Camera crews follow police officers while they work.,https://www.imdb.com/title/tt0096563/?ref_=sr_t_60
60,61. MasterChef Australia,2009–,"8.2
 (3.9K)","A few dozen home chefs battle it out in the Masterchef Kitchen to earn the best chef title, judged by top Australian chefs.",https://www.imdb.com/title/tt1433870/?ref_=sr_t_61
61,62. Deadliest Catch,2005–,"7.8
 (9.2K)",A documentary series chronicling the real-life high-sea adventures of the Alaskan crab fishermen. This is the most deadly profession in the world.,https://www.imdb.com/title/tt0446809/?ref_=sr_t_62
62,63. The Reluctant Traveler,2023–,"7.5
 (2.4K)","Follows the adventures of Levy as he visits some of the world's most remarkable hotels, as well as explores the people, places, and cultures.",https://www.imdb.com/title/tt15822846/?ref_=sr_t_63
63,"64. Little People, Big World",2006–,"6.2
 (2.7K)",The Roloffs share their lives as they face the pressure of being little in an average-sized world. They are determined to succeed in a world that isn't always accepting of differences.,https://www.imdb.com/title/tt0782374/?ref_=sr_t_64
64,65. Gold Rush,2010–,"7.2
 (5.5K)",A reality TV show that follows crews mining the gold placer deposits of the Yukon Territory.,https://www.imdb.com/title/tt1800864/?ref_=sr_t_65
65,66. Below Deck Down Under,2022–,"7.8
 (1.2K)","Explores the complex, often explosive dynamics of the crew and a rotating group of demanding charter guests on a yacht in northeastern Australia.",https://www.imdb.com/title/tt14721554/?ref_=sr_t_66
66,67. Judge Judy,1996–2021,"6.0
 (5.6K)","Judge Judy Sheindlin , a former judge from New York, tackles actual, small claims cases with her no-nonsense attitude in which damages of no more than $5,000 can be awarded.",https://www.imdb.com/title/tt0115227/?ref_=sr_t_67
67,68. Ink Master,2012–,"7.4
 (4.8K)","Ten of the country's most creative and skilled tattoo artists are judged by icons of the tattoo world. They compete for a hundred thousand dollars and the title of ""INK MASTER"".",https://www.imdb.com/title/tt1865740/?ref_=sr_t_68
68,69. Expedition Unknown,2015–,"8.2
 (3.7K)",An archeologist travels around the world looking for unknown and missing artifacts from throughout time.,https://www.imdb.com/title/tt4305162/?ref_=sr_t_69
69,70. Gold Rush: White Water,2018–,"6.7
 (957)","The Dakota Boys assemble a team of divers, mountaineers, and mechanics to explore uncharted plunge pools in white water rapids, using suction dredges in treacherous conditions where a mistake could prove fatal.",https://www.imdb.com/title/tt7749176/?ref_=sr_t_70
70,71. The Chase,2021–,"6.5
 (704)","Contestants competing against a professional quizzer, known as the Chaser, whose aim is to prevent the contestants from winning a cash prize.",https://www.imdb.com/title/tt13496094/?ref_=sr_t_71
71,72. The Dead Files,2011–,"6.7
 (3.2K)",Evidential medium Cindy Kaza and former NYPD homicide detective Steve DiSchiavi continue to investigate allegedly haunted locations at the request of their clients to provide proof of paranormal activity.,https://www.imdb.com/title/tt2012511/?ref_=sr_t_72
72,73. The Traitors Australia,2022–2023,"8.0
 (1.3K)","Deception, lies and betrayal are the name of the game as four Traitors infiltrate a group of 24 players and use their skills to eradicate 'loyal' contestants trying to win $250,000 in silver bars.",https://www.imdb.com/title/tt22640400/?ref_=sr_t_73
73,74. Love Triangle (AU),2022–,"6.2
 (75)","Love Triangle challenges a group of singles to relinquish their grasp on what they think their perfect partner should look like, and instead choose someone, sight unseen, based on a deeper connection.",https://www.imdb.com/title/tt22498176/?ref_=sr_t_74
74,75. Married at First Sight,2014–,"6.2
 (2.6K)",A reality show that follows singles yearning for a life-long partnership as they agree to a provocative proposal: getting legally married to a stranger the moment they first meet.,https://www.imdb.com/title/tt3868860/?ref_=sr_t_75
75,76. Southern Charm,2013–,"6.6
 (1.5K)","Let yourself be enchanted by the social scene, linked to tradition and splendor like no other culture in America, by a group of the city's most charismatic gentlemen and its equally beautiful southerner.",https://www.imdb.com/title/tt2815522/?ref_=sr_t_76
76,77. Baddies West,2022–,"6.4
 (365)","Natalie Nunn returns with the big bad tour bus and even badder Baddies. On this western leg, the ladies perform and host at some of the most lit clubs the cities have to offer, all while testing their patience and friendships.",https://www.imdb.com/title/tt26442901/?ref_=sr_t_77
77,78. The Great Celebrity Bake Off for SU2C,2018–,"7.8
 (316)",Celebrity contestants take part in a special version of the popular British baking competition in aid of the Stand-up to Cancer charity.,https://www.imdb.com/title/tt9022462/?ref_=sr_t_78
78,79. Cold Justice,2013–,"8.0
 (2K)",Reality series following former prosecutor Kelly Siegler and crime scene investigator Yolanda McClary as they crack cold cases across the U.S.,https://www.imdb.com/title/tt2402569/?ref_=sr_t_79
79,80. High Hopes,2024–,"6.3
 (172)","Brothers Slava and Mishka and their crew run one of Hollywood's oldest cannabis dispensaries, attracting weed enthusiasts. They aim to expand nationwide, launch their brand, culminating on 4/20. Can they make it big or go up in smoke?",https://www.imdb.com/title/tt31815506/?ref_=sr_t_80
80,81. Home Town,2016–,"8.1
 (1.5K)",Ben and Erin Napier work with each other to change old homes into dream homes.,https://www.imdb.com/title/tt6666966/?ref_=sr_t_81
81,82. The McBee Dynasty: Real American Cowboys,2024–,"6.3
 (229)",The docuseries provides a behind-the-scenes look at a family dynasty running a high-stakes farming and cattle business in rural Missouri.,https://www.imdb.com/title/tt31448173/?ref_=sr_t_82
82,83. MasterChef Junior,2013–,"6.8
 (3.1K)",24 of the best junior home cooks in the country between the ages of eight and 13 will compete in the first audition round and present their dishes to the judges.,https://www.imdb.com/title/tt3038248/?ref_=sr_t_83
83,84. Love on the Spectrum U.S.,2022–,"8.3
 (3.2K)",It follows people on the autism spectrum as they navigate the world of dating and relationships.,https://www.imdb.com/title/tt19037550/?ref_=sr_t_84
84,85. Life Below Zero,2013–,"7.9
 (2.4K)",The everyday struggles of living in the secluded state of Alaska where one wrong decision could cost you your life.,https://www.imdb.com/title/tt2964642/?ref_=sr_t_85
85,86. Chopped,2007–,"7.4
 (4.4K)","It's a Chopped All-Stars tournament event! Through four preliminary competitions, sixteen celebrities battle it out for a spot in the $50,000 finale!",https://www.imdb.com/title/tt1353281/?ref_=sr_t_86
86,87. Project Runway,2004–,"7.4
 (12K)","Aspiring fashion designers compete for a chance to break into the industry in this reality competition. Each week, a designer is eliminated from the competition after exhibiting their work in front of a judges' panel.",https://www.imdb.com/title/tt0437741/?ref_=sr_t_87
87,88. 90 Day Fiancé: Happily Ever After?,2016–,"6.4
 (992)",90 Day Fiancé: Happily Ever After? catches up with some of the most memorable couples from 90 Day Fiancé as they now face the next chapter in their marriages.,https://www.imdb.com/title/tt6142940/?ref_=sr_t_88
88,89. Selena + Chef,2020–,"8.3
 (2.1K)","A cooking series featuring the multi-platinum-selling recording artist, actress, producer, entrepreneur, and philanthropist as she navigates unfamiliar territory: making delicious meals while stuck at home in quarantine.",https://www.imdb.com/title/tt12564744/?ref_=sr_t_89
89,90. Storage Wars,2010–,"6.3
 (10K)","The same folks gather at the sales of storage units that have been abandoned by their renters. Having no clue what's inside, there are just enough instances where the buyers hit pay dirt to keep them, as well as the TV audience, addicted.",https://www.imdb.com/title/tt1785123/?ref_=sr_t_90
90,91. OMG Fashun,2024–,"6.4
 (29)","Follows a group of fashion ""disrupters"" as they create new looks with materials and techniques that would make ""fashion's gatekeepers squirm"".",https://www.imdb.com/title/tt29153100/?ref_=sr_t_91
